k_core_degree,postive,negative,nertual
0,0.15158825904778125,0.23431013349453472,0.6138093795228373
1,0.14171745256542043,0.24337684755126907,0.6146857412176896
2,0.1257151197258243,0.24774295237710903,0.6263954500762288
3,0.12439632652913901,0.24811388140662877,0.6272710209640667
4,0.11274986178565966,0.2573592514384328,0.6298908872750912
5,0.11432550490667207,0.25758144568062363,0.6280930474027991
6,0.11531926006701639,0.2558904976899664,0.6279438617741717
7,0.10529419414980254,0.2600891321004404,0.6346166748492643
8,0.11080870365988037,0.2683804959148808,0.6202676157405856
9,0.10263557220329231,0.2624170859423661,0.6349473425779513
10,0.10379589127401549,0.2612289871146857,0.6342989878377615
11,0.10398137094085919,0.26965889351763095,0.6263597358213925
12,0.11296355098628243,0.27274538173036095,0.6142910682335014
13,0.1039514644707394,0.27263539208885773,0.6234131423670308
14,0.10598549899270839,0.2660206743026972,0.6279938263577993
15,0.10103622749762949,0.27683467035071413,0.6221291056118666
16,0.09512550582198984,0.2728023614523943,0.6320721303339059
17,0.10574304536849631,0.2969450017898479,0.5973119524633059
18,0.09877813412591598,0.27315378903253545,0.6280680757138859
19,0.09868665786649271,0.2719383270829127,0.6293750167203066
20,0.1035748656743101,0.2687383536931131,0.6276867834297909
21,0.1024354095294619,0.2714889482610367,0.6260756403262322
22,0.09104493872603209,0.25936074656852637,0.6495943125058314
23,0.0992053466248219,0.25327818647377265,0.6460796864194817
24,0.11833913445355058,0.28568430600610806,0.5959765579886204
25,0.10694263331042121,0.30423565849221257,0.5888217058020708
26,0.1078266018993805,0.3296909243849877,0.5624824795987832
27,0.11295184495679556,0.2726879148333584,0.6143602410666711
28,0.10944659026827355,0.3476625692654544,0.5428908366004567
29,0.11175240361697826,0.3743342210173461,0.5139133780902507
30,0.10814892351318868,0.3955925170703841,0.4962585593929238
31,0.09629400466598334,0.3906371904253435,0.5130688001564334
32,0.12506196209800008,0.40218574205448687,0.4727523036720403
33,0.12387530451627507,0.36499568529164206,0.5111290158814255
34,0.09916481101605559,0.37599817070798763,0.5248370202152068
35,0.11102095859727465,0.3893066822543313,0.4996723584074499
36,0.10146038589902737,0.3820883676603556,0.5164512525051098
37,0.10179221738729985,0.2649542397522507,0.6332535428109574
38,0.10958219679955886,0.38232337945544925,0.5080944216837558
39,0.1278509861170362,0.3845849908554096,0.4875640199740523
40,0.12027446286543747,0.36196617234171985,0.5177593785179716
41,0.08633798159426079,0.40166593047657184,0.5119960803006377
42,0.10806003617331944,0.4098368321590868,0.48210313373349883
43,0.10738169110122697,0.4005840572811264,0.4920342534040072
44,0.08560376328623753,0.4495400810328099,0.4648561452526644
45,0.11824114443841956,0.393291365952807,0.4884674908388729
46,0.12199759715604747,0.3741460498422384,0.503856357652694
47,0.11302647529519164,0.40907738378058034,0.47789614417900644
48,0.11516205557078744,0.4031206486082131,0.48171729330594343
49,0.07745771471089051,0.4753635220925243,0.4471787619461984
50,0.13098295538631433,0.4281261284746613,0.44089090841657974
51,0.12593501391238532,0.43819901832393954,0.43586595696397124
52,0.06692682033616716,0.4430038769733221,0.49006930266211673
53,0.11067286379208478,0.4654693325331512,0.4238577968208119
54,0.1225651875109179,0.4241539934708271,0.4532808104529977
55,0.09982462663006467,0.46642955522894713,0.43374582594976974
56,0.12810659242339087,0.41433627786233934,0.45755712664144677
57,0.09709245240658644,0.43356887285551565,0.46933868177398874
58,0.1042360200879297,0.3874385780521801,0.5083253962653024
59,0.10886978634070142,0.3891122921219215,0.5020179193277188
