k_core_degree,bot_yes
0,0.3432682425488181
1,0.1353051391862955
2,0.14073071718538566
3,0.11181168558217738
4,0.12195121951219512
5,0.15753887762001353
6,0.13976833976833977
7,0.11374407582938388
8,0.13524590163934427
9,0.11811023622047244
10,0.15465116279069768
11,0.09985935302390998
12,0.22845953002610966
13,0.10754414125200643
14,0.11610486891385768
15,0.17862595419847327
16,0.11970534069981584
17,0.14444444444444443
18,0.10467706013363029
19,0.12237093690248566
20,0.16701902748414377
21,0.1261904761904762
22,0.2716417910447761
23,0.2
24,0.1544502617801047
25,0.23636363636363636
26,0.18213058419243985
27,0.09814323607427056
28,0.07456140350877193
29,0.1258741258741259
30,0.15306122448979592
31,0.05660377358490566
32,0.1242603550295858
33,0.15135135135135136
34,0.13253012048192772
35,0.12299465240641712
36,0.08484848484848485
37,0.102803738317757
38,0.14814814814814814
39,0.136986301369863
40,0.2857142857142857
41,0.2268041237113402
42,0.2396694214876033
43,0.23875432525951557
44,0.3448275862068966
45,0.11731843575418995
46,0.34234234234234234
47,0.15151515151515152
48,0.33766233766233766
49,0.22972972972972974
50,0.12162162162162163
51,0.22784810126582278
52,0.16326530612244897
53,0.38372093023255816
54,0.2542372881355932
55,0.21621621621621623
56,0.19753086419753085
57,0.2911392405063291
58,0.14444444444444443
59,0.2040256175663312
